playerRanking,gamesPlayed,minutesPlayed,effectiveFieldGoalPercentage,trueShootingPercentage,offensiveReboundsPercentage,defensiveReboundsPercentage,reboundsPercentage,assistsToTurnoversRatio,assistsRatio,turnoversRatio,twoPointAttemptsRatio,threePointAttemptsRatio,freeThrowsRate,possesions,player.code,player.name,player.age,player.imageUrl,player.team.code,player.team.tvCodes,player.team.name,player.team.imageUrl
82,62.0,16.186290322580643,56.9%,60.9%,5%,8.9%,6.9%,2.4,16.1%,6.7%,14%,56.9%,20.2%,5.3,007990,"DIBARTOLOMEO, JOHN",33,https://media-cdn.incrowdsports.com/d849757d-0a4d-47b8-82aa-ddca5eb1f7bc.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
83,59.0,16.095197740112994,59.3%,62.4%,3%,15%,8.8%,1.6,12.8%,7.9%,36%,34.9%,27%,4.5,007960,"DAVIDOVAC, DEJAN",29,https://media-cdn.incrowdsports.com/7c9b47c4-d0ca-4827-bb68-3ad4f5d4e2c3.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
84,58.0,15.022988505747128,53.2%,57%,2.4%,9.7%,6.1%,1.2,14.4%,12%,29.6%,36.1%,27.3%,8.2,009849,"DORSEY, TYLER",28,https://media-cdn.incrowdsports.com/153a0612-03d6-48a2-9d15-8d46677d32ba.png,ULK;OLY,FBB;OLY,Fenerbahce Beko Istanbul;Olympiacos Piraeus,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
85,63.0,16.570370370370373,62.5%,64.8%,2.7%,11.8%,7.5%,3.4,23.5%,6.9%,27.2%,38.1%,14.9%,5.5,003733,"ABALDE, ALBERTO",29,https://media-cdn.incrowdsports.com/192d6d61-9180-4b9a-91c0-eff940b1f27e.png,MAD,RMB,Real Madrid,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png
86,54.0,14.814814814814815,50%,53.5%,7.2%,14.8%,10.9%,2.0,18.6%,9.3%,29.3%,36.2%,23.2%,5.4,002084,"POLONARA, ACHILLE",33,https://media-cdn.incrowdsports.com/1cbaecd9-0811-4c56-b6db-96ca70ea1141.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
87,22.0,14.914393939393939,46.9%,54.3%,2.8%,6.1%,4.4%,1.8,25.6%,14.6%,14.1%,34.2%,54.2%,9.0,008104,"ZAGARS, ARTURS",24,https://media-cdn.incrowdsports.com/b4c3cecb-dc7f-4b94-b9c6-c13671bade5b.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
88,31.0,14.593010752688171,53.3%,54.4%,7.6%,15.5%,11.5%,1.1,8.7%,7.8%,49%,32.5%,5.4%,6.6,LHK,"PLEISS, TIBOR",35,https://media-cdn.incrowdsports.com/34479264-00b5-47ff-bcea-6f3aed97303e.png,IST;PAN,EFS;PAO,Anadolu Efes Istanbul;Panathinaikos AKTOR Athens,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
89,62.0,15.409408602150538,55%,58.9%,6.7%,15.5%,11.1%,1.0,13.1%,12.6%,41%,27.7%,18.3%,6.5,012710,"OSMANI, ERCAN",26,https://media-cdn.incrowdsports.com/73c6e2d2-b8f4-45cf-998f-3c7c5efb2e4f.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
90,64.0,20.12578125,50.8%,54%,2.1%,10.1%,6.1%,3.0,39.5%,13.1%,15%,28%,23.2%,8.9,006739,"PAJOLA, ALESSANDRO",25,https://media-cdn.incrowdsports.com/6541f280-b115-4758-b184-13631cba587a.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
91,39.0,15.727777777777778,51.5%,55.1%,6.1%,17.8%,11.7%,1.1,7.4%,6.7%,32.5%,45%,24.7%,6.6,011971,"WEBB III, JAMES",30,https://media-cdn.incrowdsports.com/5db88293-4b27-4ff9-883f-ef8cc7bae695.png,TEL,MTA,Maccabi Rapyd Tel Aviv,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png
92,70.0,17.545714285714286,61.7%,61.9%,10.7%,12.8%,11.8%,1.6,18.2%,11.6%,58%,2.3%,37.3%,4.9,003048,"DUNSTON, BRYANT",38,https://media-cdn.incrowdsports.com/c611afbb-f77f-4214-81fc-f08a742cd326.png,VIR;ZAL,VIR;ZAL,Virtus Bologna;Zalgiris Kaunas,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
93,65.0,18.59307692307692,49.8%,54.4%,0.9%,6.1%,3.5%,1.4,11.3%,8%,28.9%,44%,24.3%,11.9,BCN,"BELINELLI, MARCO",38,https://media-cdn.incrowdsports.com/95f413de-ce11-4fe1-916a-3984551ceba7.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
94,32.0,15.011979166666666,56%,59.3%,3.6%,12.8%,8.2%,1.5,10.1%,6.9%,29.1%,48.8%,15%,7.7,013384,"BROOKS, ARMONI",26,https://media-cdn.incrowdsports.com/aad0e402-ea32-4e04-8741-f488f652c9c1.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
95,25.0,16.416666666666668,48.6%,52.7%,6.1%,17.2%,11.5%,1.0,13.9%,13.3%,35%,31.4%,21.8%,6.6,005356,"LOPEZ-AROSTEGUI, XABI",26,https://media-cdn.incrowdsports.com/8d108cea-6042-4ca0-b952-d7885a06a3f3.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
96,55.0,21.563939393939393,55.8%,59.2%,4.9%,15.1%,10%,1.3,18.2%,14.1%,25.7%,33.5%,32.8%,5.8,002676,"BUTKEVICIUS, ARNAS",32,https://media-cdn.incrowdsports.com/b080f644-df17-416a-b647-cb2fae3f3fd1.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
97,68.0,16.20122549019608,56.5%,58.3%,2.1%,6.5%,4.3%,1.8,19.4%,10.9%,33.7%,32%,13.7%,9.8,009992,"BRIZUELA, DARIO",30,https://media-cdn.incrowdsports.com/ff80e53b-0a60-416b-aa0a-3435c3ddb3d1.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
98,58.0,21.895114942528735,59.6%,60.7%,1.9%,7.8%,4.8%,1.3,12.1%,9.6%,11.9%,63.2%,9.7%,9.7,004508,"OBST, ANDREAS",28,https://media-cdn.incrowdsports.com/0c5a2349-762c-406c-9bb0-c7ef1a0dbe47.png,MUN,BAY,FC Bayern Munich,https://media-cdn.incrowdsports.com/817b0e58-d595-4b09-ab0b-1e7cc26249ff.png
99,25.0,21.412,43.9%,46.6%,0.9%,8.2%,4.5%,4.0,30.3%,7.5%,37.1%,21.5%,13.9%,12.3,012597,"BALDWIN, KAMAR",27,https://media-cdn.incrowdsports.com/f7283ab4-069e-4ef3-84eb-a68bdc6936ac.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
100,52.0,15.832692307692307,51%,55.7%,7.5%,15.3%,11.4%,2.5,17.1%,6.9%,39.3%,30.2%,21.5%,5.3,010560,"PIERRE, DYSHAWN",31,https://media-cdn.incrowdsports.com/7f04a6d9-d458-47c5-a453-b089904b8992.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
101,27.0,16.849382716049384,41.3%,47.8%,2.2%,9.3%,5.7%,1.9,23.2%,12.4%,34.1%,22.9%,29.1%,12.3,006085,"DIMITRIJEVIC, NENO",26,https://media-cdn.incrowdsports.com/b73d9c63-2a0f-45be-bcfb-bab12c6e1043.png,MIL,EA7,EA7 Emporio Armani Milan,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
102,22.0,16.453787878787878,43.5%,52.6%,0.6%,5.2%,2.9%,1.7,19.2%,11.4%,26.7%,31%,46.3%,11.6,011970,"HARPER, JARED",26,https://media-cdn.incrowdsports.com/8d5ed5cf-154c-4dbb-924e-d56d7a62cbdc.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
103,36.0,17.251851851851853,57.1%,58.2%,7.3%,17.3%,12.3%,1.0,15%,15%,44.4%,19.5%,22%,6.1,012731,"NDIAYE, MBAYE",25,https://media-cdn.incrowdsports.com/c4e02827-3285-4414-9da3-f24d0f9eef59.png,ASV,ASV,LDLC ASVEL Villeurbanne,https://media-cdn.incrowdsports.com/e33c6d1a-95ca-4dbc-b8cb-0201812104cc.png
104,53.0,17.175786163522012,58.3%,60.8%,6.3%,15.4%,10.9%,1.2,10.9%,9.1%,29.9%,44%,18.6%,5.4,009664,"WILLIS, DEREK",29,https://media-cdn.incrowdsports.com/0b9cdea0-6e57-4257-bcb5-232e9704e702.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
105,56.0,11.773809523809524,63.6%,63.9%,13.2%,18.6%,15.9%,0.6,7.6%,13.7%,68%,0%,36%,5.6,002581,"JAITEH, MAM",30,https://media-cdn.incrowdsports.com/81504ec9-fd6b-4124-afbf-bed470352312.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
106,54.0,17.581481481481482,62%,64.8%,3.4%,9%,6.3%,1.7,18.8%,11.3%,32.2%,31.1%,23.6%,7.1,001392,"CAUSEUR, FABIEN",37,https://media-cdn.incrowdsports.com/c02a4dc6-4b7f-4b9e-89ae-10a8ed78fd34.png,MAD;MIL,RMB;EA7,Real Madrid;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/1a3e1404-4f6f-4ede-9d8b-30eee7cb51b4.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
107,37.0,16.82162162162162,51.2%,54.2%,4.6%,19%,12.1%,0.6,8.6%,14.3%,36.9%,35.4%,15.2%,9.1,013363,"NWORA, JORDAN",26,https://media-cdn.incrowdsports.com/ada69e44-57ed-4020-9a48-79e549c394e5.png,IST,EFS,Anadolu Efes Istanbul,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png
108,63.0,19.866402116402114,51.3%,56.2%,2.3%,13.1%,7.7%,2.2,31%,14.3%,25.3%,22.9%,30.4%,8.7,001844,"HACKETT, DANIEL",37,https://media-cdn.incrowdsports.com/f5d3ffc5-6ed4-43a7-9c66-674c0ac86187.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
109,55.0,19.26636363636364,59.4%,62.3%,3.6%,12.2%,8%,1.8,15.6%,8.8%,39.3%,30.2%,19.9%,7.2,012795,"ANDERSON, JUSTIN",31,https://media-cdn.incrowdsports.com/3baf817d-a882-4f75-80ac-f5a9b39ea1b4.png,PAM;BAR,VBC;BAR,Valencia Basket;FC Barcelona,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png;https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
110,32.0,16.525520833333335,61.8%,59.4%,13.5%,14%,13.7%,0.6,10.4%,16.8%,59.4%,2.3%,41.2%,6.9,013383,"GABRIEL, WENYEN",27,https://media-cdn.incrowdsports.com/10610be7-c458-49cf-a11e-da2060fb358f.png,TEL;PAN,MTA;PAO,Maccabi Rapyd Tel Aviv;Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/5c55ef14-29df-4328-bd52-a7a64c432350.png;https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
110,35.0,20.14428571428571,52%,56.2%,1.2%,7.1%,4.2%,1.8,28.2%,16%,25.5%,24.4%,27.1%,12.7,011064,"MANNION, NICCOLO",23,https://media-cdn.incrowdsports.com/8e9a611c-a223-4154-975c-4ed970661b11.png,BAS;MIL,BKN;EA7,Baskonia Vitoria-Gasteiz;EA7 Emporio Armani Milan,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png
110,22.0,19.052272727272726,54.5%,55.7%,1.5%,9.4%,5.2%,3.0,37%,12.5%,21%,28.5%,4.5%,10.2,008062,"MCDOWELL-WHITE, WILL",26,https://media-cdn.incrowdsports.com/5792acea-0096-41c4-8604-c9dad4cf9b06.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
110,34.0,16.54264705882353,56.1%,58.9%,4.5%,14.6%,9.4%,0.8,9.1%,12%,21.4%,47.7%,31.9%,9.1,007029,"SIRVYDIS, DEIVIDAS",24,https://media-cdn.incrowdsports.com/0f7c26fa-a1c7-49fd-bcef-3d833fed5736.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
110,60.0,15.445833333333333,63.2%,65.8%,8.6%,11.6%,10.1%,0.6,7.7%,12.4%,46.4%,22.9%,34.6%,6.5,011051,"SMAILAGIC, ALEN",24,https://media-cdn.incrowdsports.com/4df94e70-a8c3-4448-8474-6f63d77d7517.png,PAR;ZAL,PAR;ZAL,Partizan Mozzart Bet Belgrade;Zalgiris Kaunas,https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png;https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
115,27.0,16.96358024691358,58.6%,59.7%,2.3%,10.9%,6.7%,2.5,35.1%,14.1%,30.1%,15%,28.3%,8.1,004863,"JOVIC, STEFAN",33,https://media-cdn.incrowdsports.com/c4ac0a9d-d109-4e57-8835-43c67f1f2e62.png,PAM,VBC,Valencia Basket,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png
116,70.0,16.390714285714285,54.9%,58.3%,4.2%,9.6%,6.9%,1.4,15.5%,11.4%,30.9%,31%,40.9%,8.7,007853,"MCKISSIC, SHAQUIELLE",34,https://media-cdn.incrowdsports.com/0c13355b-b760-4c81-87d1-0c612cf8aa8a.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
117,68.0,19.63235294117647,62.1%,64.2%,4.4%,12%,8.2%,1.0,11.9%,11.6%,28.7%,43.4%,13.8%,9.0,006961,"BIBEROVIC, TARIK",23,https://media-cdn.incrowdsports.com/bcefd4a2-4919-486a-a06a-44e5ac6efdf5.png,ULK,FBB,Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
118,58.0,18.163218390804598,54.5%,59.9%,2.1%,4.8%,3.4%,2.7,24.5%,9.2%,25.8%,31.5%,35.7%,9.0,008099,"STRAZEL, MATTHEW",22,https://media-cdn.incrowdsports.com/15bebd90-1b9f-42b9-99fb-ced9102c9aad.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
119,40.0,16.83625,52.3%,54.4%,8.6%,16.4%,12.3%,1.5,14.5%,10%,44.9%,25.4%,16.8%,5.5,012721,"BEAN, JUSTIN",28,https://media-cdn.incrowdsports.com/541ed5f5-5882-4d0c-aa98-b5859dd37030.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
120,68.0,14.068627450980392,64.1%,64.8%,9.6%,18.2%,13.9%,0.6,7.8%,12.6%,68%,0%,39%,6.2,005504,"BIRUTIS, LAURYNAS",27,https://media-cdn.incrowdsports.com/b3a77237-9548-4094-8536-a910283e5184.png,ZAL,ZAL,Zalgiris Kaunas,https://media-cdn.incrowdsports.com/0aa09358-3847-4c4e-b228-3582ee4e536d.png
121,33.0,18.953535353535354,52.2%,55.5%,3.4%,11.5%,7.3%,1.6,13.4%,8.2%,35.4%,35.7%,23.2%,8.8,012609,"MALCOLM, COLLIN",27,https://media-cdn.incrowdsports.com/ea60dcd4-4e2c-4a2f-a40c-0ed6badffccc.png,PRS,PBB,Paris Basketball,https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
122,25.0,15.576666666666668,49.1%,50.9%,4.8%,14.5%,9.8%,2.5,35.2%,13.8%,30.6%,16.8%,17.7%,9.6,010106,"NUNEZ, JUAN",20,https://media-cdn.incrowdsports.com/a3c39833-77ab-42cc-926f-9601bada7623.png,BAR,BAR,FC Barcelona,https://media-cdn.incrowdsports.com/35dfa503-e417-481f-963a-bdf6f013763e.png
123,68.0,20.610539215686273,52.5%,56.4%,5.4%,11.3%,8.3%,1.6,10.7%,6.7%,37.2%,36.5%,27.4%,7.9,006436,"GIEDRAITIS, ROKAS",32,https://media-cdn.incrowdsports.com/514eb8b6-1987-43f8-b24b-748065632795.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
124,58.0,24.77126436781609,56.1%,58.8%,2.6%,7.7%,5.1%,1.6,13.5%,8.2%,26.1%,45.5%,21.1%,10.5,004761,"MARINKOVIC, VANJA",27,https://media-cdn.incrowdsports.com/fd848082-f689-47f0-a578-a53d63a6fd1b.png,BAS;PAR,BKN;PAR,Baskonia Vitoria-Gasteiz;Partizan Mozzart Bet Belgrade,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png;https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
125,62.0,16.260215053763442,62.2%,64.1%,6.5%,13.6%,10%,1.4,9.8%,7.3%,30.3%,47%,16.3%,7.5,011085,"ROGKAVOPOULOS, NIKOLAOS",23,https://media-cdn.incrowdsports.com/ea3e07f1-6e57-4af7-9b3c-cdefa3123e4d.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
126,52.0,20.620512820512822,42.7%,47.8%,2.5%,9.6%,5.9%,1.6,24.4%,15.6%,43.3%,10.7%,25.3%,14.8,008173,"SPAGNOLO, MATTEO",21,https://media-cdn.incrowdsports.com/f0795f25-b925-43fa-b39f-96960ac8f71e.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
127,40.0,20.314583333333335,55.7%,58.7%,5.5%,11.9%,8.6%,1.5,15.5%,10.3%,33.9%,33.9%,21.6%,8.0,006919,"OLINDE, LOUIS",26,https://media-cdn.incrowdsports.com/0ca648b2-adaa-4385-94c5-57a9fcf141ce.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
128,76.0,22.118201754385964,57.6%,61.4%,1.5%,5.8%,3.7%,1.3,12.5%,9.4%,22.8%,48.2%,22.7%,11.0,010612,"CANAAN, ISAIAH",33,https://media-cdn.incrowdsports.com/fdbe31b3-5c83-4daf-93b7-36ee2ada05d0.png,OLY;RED,OLY;CZV,Olympiacos Piraeus;Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
129,34.0,18.65686274509804,46.2%,54.7%,1.5%,9.4%,5.5%,2.6,23.9%,9.3%,20.6%,36.5%,38.5%,10.7,012585,"MORGAN, MATTHEW",27,https://media-cdn.incrowdsports.com/6b13fc6a-5417-473f-8199-6259fe951998.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
130,53.0,21.93176100628931,46.1%,50.6%,9.6%,8.7%,9.1%,2.0,17.4%,8.7%,63.1%,1.1%,34.2%,7.1,010588,"BROWN III, JOHN",32,https://media-cdn.incrowdsports.com/39deb3d3-4f63-4841-bc63-594dc5139b92.png,MCO;RED,ASM;CZV,AS Monaco;Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png;https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
131,26.0,18.18846153846154,53.2%,55.3%,9.9%,15.9%,12.8%,0.4,6.2%,14.5%,55%,17%,23%,9.3,008847,"MICKEY, JORDAN",29,https://media-cdn.incrowdsports.com/175bee47-c3c4-4356-9758-3cbd94c48871.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
132,76.0,21.925877192982455,54%,56%,3.7%,14.2%,9%,2.5,27.1%,10.9%,20.3%,36.1%,22.5%,8.8,001255,"PAPANIKOLAOU, KOSTAS",34,https://media-cdn.incrowdsports.com/4077edcc-1632-460c-8bef-384c3c2a06d8.png,OLY,OLY,Olympiacos Piraeus,https://media-cdn.incrowdsports.com/789423ac-3cdf-4b89-b11c-b458aa5f59a6.png
133,79.0,21.855696202531643,55.2%,56.6%,6.5%,13.8%,10.1%,1.1,5.7%,5.3%,53.1%,28.8%,19.6%,7.1,011231,"BLOSSOMGAME, JARON",31,https://media-cdn.incrowdsports.com/8e6679e0-e62b-4838-bfa7-11bae0ac5ebb.png,MCO,ASM,AS Monaco,https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
134,55.0,15.27909090909091,64.3%,65%,11%,13.6%,12.3%,0.6,7.8%,12.3%,69.2%,0%,34.8%,6.0,004554,"ZIZIC, ANTE",27,https://media-cdn.incrowdsports.com/ba96c7c1-38ad-4579-ae05-f40d7530399d.png,IST;VIR,EFS;VIR,Anadolu Efes Istanbul;Virtus Bologna,https://media-cdn.cortextech.io/9a463aa2-ceb2-481c-9a95-1cddee0a248e.png;https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
135,39.0,18.086752136752136,51.8%,55.7%,9.1%,12%,10.5%,1.7,17.5%,10.6%,61.2%,0%,39.9%,7.0,004603,"KOTSAR, MAIK",27,https://media-cdn.incrowdsports.com/e89ad524-3cb3-43fa-991e-dfa5c5068d19.png,BAS,BKN,Baskonia Vitoria-Gasteiz,https://media-cdn.incrowdsports.com/e324a6af-2a72-443e-9813-8bf2d364ddab.png
136,50.0,18.078333333333333,54.7%,56.8%,1.8%,8.4%,5.1%,1.8,20.3%,11.4%,31.4%,32.6%,15.4%,11.6,007032,"LO, MAODO",32,https://media-cdn.incrowdsports.com/9f7f2587-caaf-41fd-a2a2-3294355b7907.png,MIL;PRS,EA7;PBB,EA7 Emporio Armani Milan;Paris Basketball,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png;https://media-cdn.incrowdsports.com/a033e5b3-0de7-48a3-98d9-d9a4b9df1f39.png
137,67.0,16.20646766169154,66.8%,68.1%,7.9%,16.3%,12.1%,1.0,11.4%,11.1%,56.3%,17%,12.8%,6.0,005844,"PAPAGIANNIS, GEORGIOS",27,https://media-cdn.incrowdsports.com/cb807059-ac98-4f20-b7c5-88d7d6862d06.png,ULK;MCO,FBB;ASM,Fenerbahce Beko Istanbul;AS Monaco,https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png;https://media-cdn.incrowdsports.com/89ed276a-2ba3-413f-8ea2-b3be209ca129.png
138,51.0,19.015359477124182,49.5%,53.4%,3.2%,8.9%,5.9%,0.8,8.3%,10.6%,37.1%,35.6%,26.2%,10.4,008384,"PROCIDA, GABRIELE",22,https://media-cdn.incrowdsports.com/7b39212c-57ba-48ee-b313-18b473fcf736.png,BER,BER,ALBA Berlin,https://media-cdn.incrowdsports.com/ccc34858-22b0-47dc-904c-9940b0a16ff3.png
139,31.0,15.853225806451613,60%,65.1%,9.6%,13.9%,11.7%,0.6,7.1%,11.5%,60.3%,0%,79.1%,5.9,013374,"DIOUF, MOUHAMET",23,https://media-cdn.incrowdsports.com/992e479b-f532-4ef2-8717-0614e3acc259.png,VIR,VIR,Virtus Bologna,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png
140,61.0,21.689071038251367,49.2%,52.8%,2.5%,9.4%,5.9%,2.0,20.3%,10%,31.3%,31.8%,23.7%,12.0,010781,"LUNDBERG, IFFE",30,https://media-cdn.incrowdsports.com/a2cbf152-7faf-4ce6-b102-ec7cdf64d7b6.png,VIR;PAR,VIR;PAR,Virtus Bologna;Partizan Mozzart Bet Belgrade,https://media-cdn.cortextech.io/1362801d-dd09-4fd0-932d-ead56063ab77.png;https://media-cdn.incrowdsports.com/2681304e-77dd-4331-88b1-683078c0fb49.png
141,46.0,17.4786231884058,49.6%,55.5%,2%,8.9%,5.3%,2.8,35.3%,12.6%,11.8%,33.3%,35.4%,12.9,JDR,"TEODOSIC, MILOS",37,https://media-cdn.incrowdsports.com/ce7511eb-75b9-4f03-9836-56f4a52e971d.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
142,72.0,20.6537037037037,56.4%,57.3%,6.2%,17.2%,11.7%,1.8,20%,11.2%,33.9%,28.5%,23.1%,7.7,002849,"MELLI, NICOLO",33,https://media-cdn.incrowdsports.com/99de0949-0898-4903-9f69-a6ed15e45a55.png,MIL;ULK,EA7;FBB,EA7 Emporio Armani Milan;Fenerbahce Beko Istanbul,https://media-cdn.cortextech.io/9512ee73-a0f1-4647-a01e-3c2938aba6b8.png;https://media-cdn.cortextech.io/3b7f020e-5b39-49a1-b4b2-efea918edab7.png
143,26.0,20.12179487179487,48.7%,49.8%,3%,14.2%,8.5%,1.8,20.4%,11.2%,29.3%,32.6%,23.9%,11.7,005099,"HANGA, ADAM",34,https://media-cdn.incrowdsports.com/f9dd2a24-1b86-4538-aca2-c93136cf6f50.png,RED,CZV,Crvena Zvezda Meridianbet Belgrade,https://media-cdn.incrowdsports.com/d2eef4a8-62df-4fdd-9076-276004268515.png
144,45.0,23.529999999999998,60.6%,63.8%,1.8%,10.5%,6.3%,1.5,14.5%,9.8%,25.8%,44.1%,18.6%,8.9,002328,"GRIGONIS, MARIUS",30,https://media-cdn.incrowdsports.com/9b6b4d6f-597a-46b9-8584-31e83966f077.png,PAN,PAO,Panathinaikos AKTOR Athens,https://media-cdn.incrowdsports.com/e3dff28a-9ec6-4faf-9d96-ecbc68f75780.png
