Season,Phase,Gamecode,Round,roundAlias,roundName,played,date,confirmedDate,confirmedHour,localTimeZone,localDate,utcDate,localLast5Form,roadLast5Form,season.name,season.code,season.alias,season.competitionCode,season.year,season.startDate,group.id,group.order,group.name,group.rawName,phaseType.code,phaseType.alias,phaseType.name,phaseType.isGroupPhase,local.club.code,local.club.name,local.club.abbreviatedName,local.club.editorialName,local.club.tvCode,local.club.isVirtual,local.club.images.crest,local.score,local.standingsScore,road.club.code,road.club.name,road.club.abbreviatedName,road.club.editorialName,road.club.tvCode,road.club.isVirtual,road.club.images.crest,road.score,road.standingsScore
2024,RS,1,1,Round 1,Round 1,True,2024-09-25T19:00:00,True,True,2,2024-09-25T19:00:00,2024-09-25T17:00:00Z,['L'],['W'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,d7fbf7bc-fa38-436d-be58-359f792d76e5,1,Group A,A,RS,REGULAR SEASON,Regular Season,True,TSO,Trefl Sopot,Sopot,,SOP,False,https://media-cdn.incrowdsports.com/9ef7b3dd-9f80-4639-964d-9db4dfe436ee.png,93,81,ULM,ratiopharm Ulm,Ulm,,ULM,False,https://media-cdn.incrowdsports.com/497dc717-214d-4c03-8c67-0c4870278aa0.png,96,81
2024,RS,2,1,Round 1,Round 1,True,2024-09-24T20:30:00,True,True,2,2024-09-24T20:30:00,2024-09-24T18:30:00Z,['W'],['L'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,d7fbf7bc-fa38-436d-be58-359f792d76e5,1,Group A,A,RS,REGULAR SEASON,Regular Season,True,JOV,Joventut Badalona,Joventut,,CJB,False,https://media-cdn.incrowdsports.com/4867b9ca-abc6-48fd-a47f-011904a74bf8.png,78,78,HTA,Hapoel Shlomo Tel Aviv,Hapoel Tel Aviv,,HTA,False,https://media-cdn.incrowdsports.com/cbb1c3ad-03d5-426a-b5ef-2832a4eee484.png,75,75
2024,RS,3,1,Round 1,Round 1,True,2024-09-25T18:00:00,True,True,3,2024-09-25T19:00:00,2024-09-25T16:00:00Z,['L'],['W'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,d7fbf7bc-fa38-436d-be58-359f792d76e5,1,Group A,A,RS,REGULAR SEASON,Regular Season,True,WOL,Wolves Twinsbet Vilnius,Wolves,,WLV,False,https://media-cdn.incrowdsports.com/bab91c74-fc2e-4176-9db5-06f40e0e6759.png,69,69,BAH,Bahcesehir College Istanbul,Bahcesehir,,BKS,False,https://media-cdn.incrowdsports.com/1d3274d8-da86-4d21-9e97-6810ab88babe.png,80,80
2024,RS,4,1,Round 1,Round 1,True,2024-09-25T19:00:00,True,True,3,2024-09-25T20:00:00,2024-09-25T17:00:00Z,['W'],['L'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,d7fbf7bc-fa38-436d-be58-359f792d76e5,1,Group A,A,RS,REGULAR SEASON,Regular Season,True,BES,Besiktas Fibabanka Istanbul,Besiktas,,BJK,False,https://media-cdn.cortextech.io/7d37b2d0-2a4a-4a86-bf2c-266bd8da7cac.png,94,94,BUD,Buducnost VOLI Podgorica,Buducnost,,BUD,False,https://media-cdn.incrowdsports.com/47161285-94b3-4266-9d23-b722e8600945.png,76,76
2024,RS,5,1,Round 1,Round 1,True,2024-09-24T21:00:00,True,True,1,2024-09-24T20:00:00,2024-09-24T19:00:00Z,['W'],['L'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,d7fbf7bc-fa38-436d-be58-359f792d76e5,1,Group A,A,RS,REGULAR SEASON,Regular Season,True,CAN,Dreamland Gran Canaria,Gran Canaria,,DGC,False,https://media-cdn.incrowdsports.com/a074edc1-e180-4515-a876-447884b570b1.png,84,84,TRN,Dolomiti Energia Trento,Trento,,TRE,False,https://media-cdn.incrowdsports.com/00c5cc07-732c-43c3-9d6e-5440594a25f8.png,81,81
2024,RS,6,1,Round 1,Round 1,True,2024-09-25T19:00:00,True,True,3,2024-09-25T20:00:00,2024-09-25T17:00:00Z,['L'],['W'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,52dd6cf6-70fb-4327-b4d3-fa0b48db829d,2,Group B,B,RS,REGULAR SEASON,Regular Season,True,JER,Hapoel Bank Yahav Jerusalem,Hapoel Jerusalem,,JLM,False,https://media-cdn.incrowdsports.com/8058e0c5-3042-45e1-9423-f93f33c54576.png,64,64,PAM,Valencia Basket,Valencia,,VBC,False,https://media-cdn.cortextech.io/d88f3c71-1519-4b19-8cfb-99e26a4c008e.png,80,80
2024,RS,7,1,Round 1,Round 1,True,2024-09-24T19:30:00,True,True,2,2024-09-24T19:30:00,2024-09-24T17:30:00Z,['L'],['W'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,52dd6cf6-70fb-4327-b4d3-fa0b48db829d,2,Group B,B,RS,REGULAR SEASON,Regular Season,True,HAM,Veolia Towers Hamburg,Hamburg,,HAM,False,https://media-cdn.incrowdsports.com/5ef8be01-ad71-42c2-aa02-d5c7a9495258.png,80,80,BOU,Cosea JL Bourg-en-Bresse,Bourg,,JLB,False,https://media-cdn.incrowdsports.com/d4225e1b-7c1b-4382-98d4-ca8511c64441.png,100,100
2024,RS,8,1,Round 1,Round 1,True,2024-09-25T18:00:00,True,True,3,2024-09-25T19:00:00,2024-09-25T16:00:00Z,['L'],['W'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,52dd6cf6-70fb-4327-b4d3-fa0b48db829d,2,Group B,B,RS,REGULAR SEASON,Regular Season,True,CLU,U-BT Cluj-Napoca,Cluj,,UBT,False,https://media-cdn.incrowdsports.com/ae3e2844-0615-41bb-a788-a4f0d54b8d5e.png,86,86,LJU,Cedevita Olimpija Ljubljana,Cedevita Olimpija,,COL,False,https://media-cdn.incrowdsports.com/73b33d13-570e-4e49-a9cb-fe806831eaa7.png,93,93
2024,RS,9,1,Round 1,Round 1,True,2024-09-25T20:00:00,True,True,2,2024-09-25T20:00:00,2024-09-25T18:00:00Z,['W'],['L'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,52dd6cf6-70fb-4327-b4d3-fa0b48db829d,2,Group B,B,RS,REGULAR SEASON,Regular Season,True,VNC,Umana Reyer Venice,Reyer Venice,,URV,False,https://media-cdn.incrowdsports.com/104f5074-9f23-47da-a21f-f2078db8244c.png,95,95,ARI,Aris Midea Thessaloniki,Aris,,ARI,False,https://media-cdn.cortextech.io/28be84d9-ad7e-43b3-8d8c-822bb76b8a9e.png,75,75
2024,RS,10,1,Round 1,Round 1,True,2024-09-24T18:30:00,True,True,3,2024-09-24T19:30:00,2024-09-24T16:30:00Z,['W'],['L'],EuroCup-2024-25,U2024,2024-25,U,2024,2024-06-29T00:00:00,52dd6cf6-70fb-4327-b4d3-fa0b48db829d,2,Group B,B,RS,REGULAR SEASON,Regular Season,True,TTK,Turk Telekom Ankara,Turk Telekom,,TTA,False,https://media-cdn.incrowdsports.com/4ba35608-54ca-4800-a59c-f2571e6f8e13.png,72,72,LKB,7Bet-Lietkabelis Panevezys,Lietkabelis,,LIE,False,https://media-cdn.cortextech.io/ffcb6e37-31f4-48f6-91c2-a8c9a6f791a9.png,66,66
